Index,Phase 1,Phase 2,Phase 3,Phase 4,Phase 5,Phase 6,Phase 7,Phase 8,Phase 9,Phase 10,Phase 11
1,0.7030618921889831,0.972955168384573,0.7930997268331177,0.8597937272034546,0.9064976003307692,0.008049138100545026,0.006806782768097913,0.825878462837799,0.5879336060071093,1.3559280785887104e-09,7.9312512125719e-05
4,0.0,0.0,0.001431943163546348,0.0,0.0,0.0,0.0,4.1193908485468945e-05,0.0,0.0,0.0
89,0.00196230366863075,1.4805602377653611e-08,0.0002045633090780497,0.00017264427277643212,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,0.01808043277875347,0.0,0.06045498588765977,0.007373625767118339,5.714028932060031e-62,0.003074206916959766,0.0006452295245094424,0.0,0.0,5.899723633641235e-12,6.698908209393214e-98
3,0.014360068932602912,0.00763577966931747,0.0462512287430128,0.023967618407963798,0.010536110525498282,0.1952896308649688,0.3433215967643035,0.017379601734086987,0.13946549643290673,1.1715972513313672e-11,0.03789200947364364
5,0.0,0.0,0.0,0.0001645204897918457,0.0,0.18799980011027626,0.0,0.0,0.0,0.0,0.0
88,0.17143994246680047,1.8865232853459208e-05,0.007768547312337352,0.008913875392965037,0.014609192266034639,0.0,0.0,0.0,0.0022929219337215574,0.0,0.0
85,0.03945123156212803,0.003817889834658735,0.0,0.02126623018536717,0.02119960453188699,0.0063131803729678864,0.020544099840516868,0.0664096829443647,0.02220703200983791,6.62730414838462e-11,1.0560233616602707e-06
90,0.0,0.0,0.0,0.0070468699838450305,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,9.425219427114388e-05,0.0008184643418864224,0.0001645204897918457,3.795154870390378e-05,0.030987038347865998,0.030730824152724764,0.009532825911505493,0.0,0.0,0.0
7,0.0409587290104139,0.004577875072291252,0.0,0.0035456237775388943,0.0016247662593900133,0.0,0.0,0.0,2.3363616963711327e-71,0.0,0.0
54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.010685399391687278,0.00610383342972167,0.006325798776128222,0.0008226024489592286,0.00037951548703903776,0.021519448418718362,0.020487216101816513,4.1193908485468945e-05,0.0,0.0,0.0
64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.004683218743586145,0.0,0.005981431347967827,0.0024348653776724394,0.006148413833919532,0.0,0.0,0.002746304056918803,5.881390576910822e-12,0.0
86,0.0,1.8850438854228776e-05,0.021992927601062973,0.015399048271390003,0.003255230766115634,0.0,0.0,0.0007385054089486154,0.0,0.0,0.0
55,0.0,1.8850438854228776e-05,0.0,0.0,0.0,0.0,0.005121804025454128,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,0.0,1.8850438854228776e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,0.0,1.8850438854228776e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,0.0,0.0,0.004736958243914434,0.026741626178895108,0.0017006693567978208,0.12969086053739773,0.020839420271460053,0.010622930036762103,0.006138687913177104,4.100590379659785e-11,2.304344059395989e-06
9,0.0,0.0,0.0007391313667250005,0.0,0.0,0.0,0.0010829941355530574,0.0,0.0,0.0,0.0
11,0.0,0.0,0.006702026054643599,0.0015903647346545084,0.0007210794253741718,0.10184511083711686,0.1500334354761053,0.009455097856067124,0.0,0.0,1.3687924996287096e-08
12,0.0,3.770087770845755e-05,0.0,0.006992029820581081,0.02402966701715681,0.011882308175890541,1.3977147436280177e-58,0.002093794850550188,0.0021572731831474164,0.9051033921889453,0.0012870665877822176
48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0,0.0,0.0,0.005121804025454128,0.0004923369392990769,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0,0.0016805375480273353,0.0,0.0,0.0,0.0,0.0,0.0
84,0.0,0.0,0.0009740184028352585,0.0017465947889022772,7.590309740780756e-05,0.006170938803556817,0.0,0.0,0.0,5.5138887137817415e-11,3.227038424544618e-07
49,0.0,0.0,0.03180206817576184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,0.0,0.0,0.0,1.052364376620667e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,0.0,0.0,0.0001254090928384589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,0.0,0.0,0.005949571497612846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0070817541318924735,3.738749315902606e-48,0.0,0.0004130509145132747,0.0,0.0,0.0,0.0,0.0
51,0.0,0.0,0.0035408770659462368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,0.0,0.0,0.0,0.006767018502553315,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,0.0,0.0,0.0,5.4840163263948574e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0014951867198557311,0.00011395658494522226,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.00020652545725663736,0.0,0.009485198179029406,0.0,0.0002937155256273799,0.06379705014662522
106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0034205001758626117,0.005121804025454128,0.0,0.0,0.0,0.0
108,0.0,0.0,0.0,0.0,0.002586807490932736,0.0,0.0,0.0,0.0,0.0,0.0
100,0.0,0.0,0.0,0.0,3.795154870390378e-05,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.005041612644082006,0.0016522036580530989,2.526915980260462e-32,9.520388162884293e-06,0.00041352878447882297,0.0,0.025261339649095764
17,0.0,0.0,0.0,0.0,0.0033610750960546706,0.0030978818588495607,4.2115266337674376e-33,9.520388162884293e-06,0.00013784292815960766,0.0,0.1389373680700267
25,0.0,0.0,0.0,0.0,0.0,0.00020652545725663736,0.0,4.760194081442147e-06,0.0,0.0,0.0
82,0.0,0.0,0.0,0.0,3.795154870390378e-05,0.003074206916959766,0.0,0.0,0.013266500626108721,1.800720811220726e-11,4.879319303799318e-07
19,0.0,0.0,0.0,0.0,3.795154870390378e-05,0.2306880033611166,0.10760272034006264,4.1193908485468945e-05,0.0,1.3059862071813555e-106,0.0
78,0.0,0.0,0.0,0.0,0.0,0.0017904693581494147,0.0003171580823195455,0.00012308423482476922,0.0020538368799684708,0.0,6.584165519542146e-09
77,0.0,0.0,0.0,0.0,0.0,0.0063933830121878695,0.06665505899967515,0.0,0.0,0.0,0.0
87,0.0,0.0,0.0,0.0,0.0,0.009345105340013466,0.07697440626359951,0.011070143978395263,0.1538517084094226,6.165853802054972e-10,7.914530970829618e-07
20,0.0,0.0,0.0,0.0,0.0,0.030742069169597663,0.025609020127270638,0.0,0.0,0.0,0.0
62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,4.2115266337674376e-33,0.02832725261755037,0.0,0.0,0.0
74,0.0,0.0,0.0,0.0,0.0,0.0,0.00021685031222870116,0.0,0.0,0.0,0.0
79,0.0,0.0,0.0,0.0,0.0,0.0,8.808620340306831e-05,0.0,4.899705604268114e-65,0.0,1.6790016560572145e-10
69,0.0,0.0,0.0,0.0,0.0,0.0,0.0563398442799954,0.0,0.0,0.0,0.0
61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,0.0,0.0,0.0,0.0,0.0,0.0,0.0563398442799954,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,1.684610653506975e-32,3.9668284012017884e-05,0.0008270575689576459,3.215462833017886e-06,0.4168121042100801
75,0.0,0.0,0.0,0.0,0.0,0.0,4.2115266337674376e-33,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1193908485468945e-05,0.0,0.0,0.0
81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004278750182248065,3.148037117694716e-11,0.0
67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002717243487644217,0.0,0.0,0.0
73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9504993117252875e-08
37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005434486975288434,0.0,3.5112734410171617e-09,0.0027918865895885767
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.933656802403577e-06,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5867313604807156e-06,0.0,0.0,0.0
80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5867313604807156e-06,0.0,0.0,0.0
91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005336923625854904,2.8195817336399126e-11,1.2762244600639194e-06
46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06162683925717192,2.8256082623027476e-11,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.892146407980383e-05,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.946128855323421e-08
41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.076601383106018e-11,0.03472465786536906
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011727650508849295,0.0
58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08287161850656434,0.00031261438697156304
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3059862071813555e-106,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025278904167881287
95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016869605203972518
42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025261339649095764
71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.505577981863026e-12,0.0
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1647432523160051e-11,0.0
45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.076601383106018e-11,0.0
65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0193285412723576e-07,0.22735205684186188
70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7202533937298455e-05
102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3176852308329119e-08
72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
