0,Difference,Phase_4,Phase_5,Rank_4,Rank_5
1,0.044561251920122946,0.8393097158218126,0.8838709677419355,1.0,1.0
89,-0.1316964285714286,0.19621255760368667,0.06451612903225806,2.0,4.5
3,-0.046351766513056836,0.09043778801843318,0.04408602150537634,3.0,7.0
83,-0.015072964669738842,0.0795890937019969,0.06451612903225806,4.0,4.5
13,-0.0625,0.0625,0.0,6.0,20.0
107,,0.0625,,6.0,
8,-0.0625,0.0625,0.0,6.0,20.0
86,-0.04742703533026112,0.04742703533026112,0.0,8.0,20.0
85,0.047979070660522274,0.016537058371735792,0.06451612903225806,9.0,4.5
9,-0.01476094470046083,0.01476094470046083,0.0,10.0,20.0
31,0.05241935483870967,0.012096774193548387,0.06451612903225806,11.0,4.5
51,,0.0,,22.5,
49,,0.0,,22.5,
35,,0.0,,22.5,
52,,0.0,,22.5,
109,,0.0,,22.5,
53,,0.0,,22.5,
106,,0.0,,22.5,
63,,0.0,,22.5,
14,,0.0,,22.5,
12,0.2698924731182796,0.0,0.2698924731182796,22.5,2.0
15,0.0,0.0,0.0,22.5,20.0
2,0.0,0.0,0.0,22.5,20.0
4,0.0,0.0,0.0,22.5,20.0
47,0.0,0.0,0.0,22.5,20.0
6,0.0,0.0,0.0,22.5,20.0
11,0.0,0.0,0.0,22.5,20.0
7,0.0,0.0,0.0,22.5,20.0
76,0.0,0.0,0.0,22.5,20.0
84,0.0,0.0,0.0,22.5,20.0
88,0.0,0.0,0.0,22.5,20.0
5,0.0,0.0,0.0,22.5,20.0
90,,0.0,,22.5,
100,,,0.0,,20.0
108,,,0.0,,20.0
17,,,0.0,,20.0
18,,,0.0,,20.0
19,,,0.0,,20.0
25,,,0.0,,20.0
32,,,0.0,,20.0
34,,,0.0,,20.0
55,,,0.0,,20.0
82,,,0.0,,20.0
